region,total_casos,total_mortes,taxa_mortalidade_regiao
Centro-Oeste,1662222.0,41987,2.53
Nordeste,3754438.0,92173,2.46
Norte,1583228.0,40434,2.55
Sudeste,6014887.0,206727,3.44
Sul,3068483.0,67747,2.21
