code,name,state,total_casos,total_mortes,primeirocaso,ultimoregistro,taxa_mortalidade_cidade,population,mortes_por_100k,casos_por_100k
210270.0,Cantanhede,MA,146297.0,1286,2020-03-27,2021-05-23,0.88,21995.0,5846.78,665137.53
210275.0,Capinzal do Norte,MA,144316.0,837,2020-03-27,2021-05-23,0.58,10934.0,7655.02,1319882.93
210280.0,Carolina,MA,143420.0,1768,2020-03-27,2021-05-23,1.23,,,
210290.0,Carutapera,MA,148839.0,6892,2020-03-27,2021-05-23,4.63,23807.0,28949.47,625190.07
210300.0,Caxias,MA,1791175.0,35971,2020-03-27,2021-05-23,2.01,164880.0,21816.47,1086350.68
210310.0,Cedral,MA,50815.0,122,2020-03-27,2021-05-23,0.24,10675.0,1142.86,476018.74
210312.0,Central do Maranhão,MA,10093.0,410,2020-03-27,2021-05-23,4.06,,,
210315.0,Centro do Guilherme,MA,108440.0,763,2020-03-27,2021-05-23,0.7,13458.0,5669.49,805766.09
210317.0,Centro Novo do Maranhão,MA,216012.0,2419,2020-03-27,2021-05-23,1.12,21622.0,11187.68,999038.02
210320.0,Chapadinha,MA,992501.0,19813,2020-03-27,2021-05-23,2.0,79675.0,24867.27,1245686.85
210325.0,Cidelândia,MA,133183.0,558,2020-03-27,2021-05-23,0.42,14697.0,3796.69,906191.74
210330.0,Codó,MA,690063.0,28157,2020-03-27,2021-05-23,4.08,122859.0,22918.14,561670.7
210340.0,Coelho Neto,MA,528154.0,12406,2020-03-27,2021-05-23,2.35,49435.0,25095.58,1068380.7
210350.0,Colinas,MA,691443.0,11205,2020-03-27,2021-05-23,1.62,41178.0,27211.13,1679156.35
210355.0,Conceição do Lago-Açu,MA,58206.0,2568,2020-03-27,2021-05-23,4.41,16237.0,15815.73,358477.55
210360.0,Coroatá,MA,619158.0,10276,2020-03-27,2021-05-23,1.66,65296.0,15737.56,948232.66
210370.0,Cururupu,MA,235701.0,2976,2020-03-27,2021-05-23,1.26,32695.0,9102.31,720908.4
210375.0,Davinópolis,MA,104683.0,3998,2020-03-27,2021-05-23,3.82,12908.0,30973.04,810993.18
210380.0,Dom Pedro,MA,167514.0,1700,2020-03-27,2021-05-23,1.01,23350.0,7280.51,717404.71
210390.0,Duque Bacelar,MA,172875.0,2879,2020-03-27,2021-05-23,1.67,11349.0,25367.87,1523261.96
210400.0,Esperantinópolis,MA,226073.0,5410,2020-03-27,2021-05-23,2.39,17241.0,31378.69,1311252.25
210405.0,Estreito,MA,892686.0,7330,2020-03-27,2021-05-23,0.82,41946.0,17474.85,2128179.09
210407.0,Feira Nova do Maranhão,MA,318338.0,1472,2020-03-27,2021-05-23,0.46,,,
210408.0,Fernando Falcão,MA,251434.0,177,2020-03-27,2021-05-23,0.07,10360.0,1708.49,2426969.11
